jid,hcbc,sfd,mdd,fcsj,dzsj
740000095,D839,武汉县,建国县,1577721600,1577980800
840000096,H257,呼和浩特市,潮州县,1577721600,1577980800
140000097,E509,秀荣市,秀梅市,1577721600,1577980800
240000098,D419,秀芳县,淮安县,1577721600,1577980800
540000099,T017,惠州县,福州市,1577721600,1577980800
240000100,N016,秀英县,乌鲁木齐县,1577721600,1577980800
140000101,Z980,勇市,长沙市,1577721600,1577980800
440000102,H679,马鞍山县,倩市,1577721600,1577980800
740000103,G102,帆县,郑州市,1577721600,1577980800
940000104,E037,昆明市,合山县,1577721600,1577980800
840000105,A212,东市,广州县,1577721600,1577980800
740000106,D256,沈阳市,桂芳市,1577721600,1577980800
540000107,R355,合山县,西宁县,1577721600,1577980800
240000108,G486,璐市,太原市,1577721600,1577980800
240000109,G817,淮安县,海口县,1577721600,1577980800
440000110,R509,长沙县,西宁县,1577721600,1577980800
840000111,K652,桂香市,深圳市,1577721600,1577980800
540000113,A225,昆明县,太原县,1577721600,1577980800
640000114,N705,春梅县,璐县,1577721600,1577980800
440000115,H246,健市,马鞍山市,1577721600,1577980800
840000116,N042,关岭县,武汉县,1577721600,1577980800
140000117,D602,雷县,兴安盟市,1577721600,1577980800
540000118,Y156,北京市,琳县,1577721600,1577980800
340000119,Z083,红梅县,六安市,1577721600,1577980800
640000120,C124,玉珍市,潮州市,1577721600,1577980800
840000121,Z734,荆门市,玉英县,1577721600,1577980800
440000122,Y144,建平市,南京市,1577721600,1577980800
740000123,R105,太原市,拉萨县,1577721600,1577980800
940000124,L646,颖县,邯郸市,1577721600,1577980800
240000125,H832,关岭县,汕尾县,1577721600,1577980800
240000126,L585,畅县,上海县,1577721600,1577980800
440000127,C972,石家庄市,凯县,1577721600,1577980800
940000128,G889,秀荣县,超县,1577721600,1577980800
940000129,G670,金凤县,想县,1577721600,1577980800
740000130,C974,鹏县,桂芳县,1577721600,1577980800
340000131,L264,艳市,志强市,1577721600,1577980800
440000132,T861,云县,璐市,1577721600,1577980800
940000133,G192,辛集县,亮市,1577721600,1577980800
440000134,G557,磊市,太原市,1577721600,1577980800
440000135,D667,南京县,南昌市,1577721600,1577980800
440000136,C830,兰英市,静县,1577721600,1577980800
240000137,E405,沈阳县,呼和浩特市,1577721600,1577980800
440000138,N631,天津县,重庆市,1577721600,1577980800
640000139,K504,超市,杭州市,1577721600,1577980800
940000140,Z898,上海市,勇市,1577721600,1577980800
840000141,A675,哈尔滨市,建军县,1577721600,1577980800
440000142,S930,南昌市,武汉市,1577721600,1577980800
740000143,T194,玉珍县,倩县,1577721600,1577980800
640000144,A352,淑珍市,琴县,1577721600,1577980800
140000145,H689,惠州县,辽阳县,1577721600,1577980800
740000146,Z968,天津县,重庆市,1577721600,1577980800
940000147,H111,淮安县,莉市,1577721600,1577980800
440000148,D387,明市,哈尔滨县,1577721600,1577980800
740000149,E834,丹丹市,北镇市,1577721600,1577980800
640000150,K596,利县,玉珍市,1577721600,1577980800
840000151,C709,阳市,广州市,1577721600,1577980800
540000152,G671,潮州市,南宁市,1577721600,1577980800
440000153,A979,红霞县,石家庄市,1577721600,1577980800
140000154,Y141,关岭县,娜县,1577721600,1577980800
540000155,G264,东莞县,桂珍市,1577721600,1577980800
540000156,N947,阳县,秀兰县,1577721600,1577980800
940000157,Z086,汕尾市,西宁县,1577721600,1577980800
740000158,D305,英市,桂英县,1577721600,1577980800
940000159,E607,梅市,凤英市,1577721600,1577980800
140000160,T105,建县,佛山市,1577721600,1577980800
140000161,C285,辽阳县,潮州市,1577721600,1577980800
340000162,T151,南京市,香港市,1577721600,1577980800
340000163,N228,凤兰县,荣县,1577721600,1577980800
540000165,Y928,通辽县,凤兰市,1577721600,1577980800
540000166,Y581,霞县,潮州市,1577721600,1577980800
340000167,A548,东莞县,武汉县,1577721600,1577980800
440000168,R569,海燕县,成都市,1577721600,1577980800
840000169,K278,南京县,淮安县,1577721600,1577980800
540000170,T000,淑英市,六安县,1577721600,1577980800
740000171,D332,雷县,英县,1577721600,1577980800
140000172,Z532,石家庄县,北京市,1577721600,1577980800
140000173,Z162,梅市,淮安市,1577721600,1577980800
740000174,S680,邯郸市,拉萨县,1577721600,1577980800
440000175,L098,福州县,南京县,1577721600,1577980800
740000176,E761,楠市,建平县,1577721600,1577980800
640000177,L235,龙县,兴城市,1577721600,1577980800
240000178,E658,军市,哈尔滨市,1577721600,1577980800
140000179,R391,郑州县,宁德市,1577721600,1577980800
640000180,S966,深圳县,秀珍市,1577721600,1577980800
340000181,H691,倩县,丹丹市,1577721600,1577980800
140000182,H136,北京市,柳州县,1577721600,1577980800
540000183,H079,建军县,宜都市,1577721600,1577980800
640000184,L064,兴城县,济南县,1577721600,1577980800
140000185,L447,广州县,阳市,1577721600,1577980800
340000186,D837,丽县,建华市,1577721600,1577980800
940000187,L397,济南县,南京县,1577721600,1577980800
940000188,G352,秀荣县,婷市,1577721600,1577980800
640000189,T568,拉萨县,飞县,1577721600,1577980800
440000190,Z863,南京县,潮州市,1577721600,1577980800
640000191,L242,拉萨市,冬梅县,1577721600,1577980800
840000192,Z570,辛集市,洁县,1577721600,1577980800
840000193,T758,红县,敏县,1577721600,1577980800
840000194,Y691,丽市,宜都市,1577721600,1577980800
240000195,N106,兴城县,张家港县,1577721600,1577980800
440000196,A740,永安县,静县,1577721600,1577980800
440000197,C457,乌鲁木齐县,林县,1577721600,1577980800
240000198,G905,香港县,文市,1577721600,1577980800
340000199,C354,宜都县,艳县,1577721600,1577980800
640000200,Y033,郑州市,西安县,1577721600,1577980800
140000201,L423,呼和浩特县,阜新县,1577721600,1577980800
540000202,G252,淑华县,北镇县,1577721600,1577980800
640000203,N211,秀英市,武汉县,1577721600,1577980800
640000204,S952,西宁市,邯郸市,1577721600,1577980800
240000205,K347,呼和浩特市,海口县,1577721600,1577980800
640000206,C368,兴城市,长春市,1577721600,1577980800
140000207,A107,辽阳市,宜都县,1577721600,1577980800
740000208,E694,济南市,秀芳县,1577721600,1577980800
740000209,Z631,嘉禾市,浩市,1577721600,1577980800
940000210,E370,玉英县,海口县,1577721600,1577980800
140000211,R465,福州县,博市,1577721600,1577980800
840000212,D955,英县,丽娟市,1577721600,1577980800
340000213,Z393,邯郸市,巢湖市,1577721600,1577980800
240000214,N402,丹丹市,天津市,1577721600,1577980800
640000215,L806,太原市,辉县,1577721600,1577980800
640000216,K334,敏县,婷婷市,1577721600,1577980800
440000217,N600,惠州县,海口市,1577721600,1577980800
240000218,Z437,玉英市,娟市,1577721600,1577980800
140000219,L537,荣市,佳县,1577721600,1577980800
240000220,K027,秀华县,合山县,1577721600,1577980800
940000221,H566,武汉市,帆县,1577721600,1577980800
540000222,Z663,辛集县,璐县,1577721600,1577980800
740000223,K591,瑞县,霞县,1577721600,1577980800
540000224,R956,宜都县,辉市,1577721600,1577980800
140000225,H172,上海市,潜江县,1577721600,1577980800
540000226,A872,鹏县,石家庄市,1577721600,1577980800
540000227,Y574,深圳县,旭县,1577721600,1577980800
240000228,L459,晨县,齐齐哈尔县,1577721600,1577980800
840000229,C846,琳市,梅市,1577721600,1577980800
940000230,L384,南昌县,凯市,1577721600,1577980800
840000231,S597,璐市,潮州市,1577721600,1577980800
440000232,D870,云县,澳门市,1577721600,1577980800
540000233,D172,福州县,宁县,1577721600,1577980800
240000234,G336,莹市,丽丽市,1577721600,1577980800
540000235,L610,俊市,石家庄县,1577721600,1577980800
740000236,Z871,东市,重庆市,1577721600,1577980800
440000237,L714,丽市,贵阳县,1577721600,1577980800
940000238,H672,春梅市,玉梅县,1577721600,1577980800
240000239,Y097,六盘水市,云市,1577721600,1577980800
540000240,L542,瑜市,宁德县,1577721600,1577980800
140000241,G822,汕尾县,红梅县,1577721600,1577980800
240000242,N935,柳州县,勇市,1577721600,1577980800
240000243,C128,六盘水市,丹县,1577721600,1577980800
540000244,A021,玉梅县,拉萨市,1577721600,1577980800
640000245,N264,洋县,六安县,1577721600,1577980800
540000246,K298,昆明县,斌县,1577721600,1577980800
740000247,K253,慧县,雷县,1577721600,1577980800
240000248,K427,玉华市,南京市,1577721600,1577980800
340000249,D552,博县,玉县,1577721600,1577980800
840000250,E627,婷市,敏县,1577721600,1577980800
840000251,C423,辛集市,柳市,1577721600,1577980800
840000252,A957,红梅市,秀云县,1577721600,1577980800
640000253,E634,东莞县,淮安县,1577721600,1577980800
240000254,S114,济南市,长春县,1577721600,1577980800
140000255,N652,东县,文县,1577721600,1577980800
740000256,T146,天津县,南京市,1577721600,1577980800
740000257,G763,利市,莹县,1577721600,1577980800
640000258,N079,桂香县,娜县,1577721600,1577980800
940000259,D212,杨市,浩县,1577721600,1577980800
440000260,E579,玉珍市,海燕市,1577721600,1577980800
340000261,S546,红霞市,上海县,1577721600,1577980800
240000262,A676,太原市,建平县,1577721600,1577980800
840000263,C762,辛集市,丽市,1577721600,1577980800
440000264,S340,彬县,建华市,1577721600,1577980800
140000265,Y638,北京县,合山县,1577721600,1577980800
240000266,T242,拉萨县,洋县,1577721600,1577980800
440000267,L670,辛集市,南昌市,1577721600,1577980800
340000268,A098,香港市,重庆县,1577721600,1577980800
640000269,C382,惠州县,秀云市,1577721600,1577980800
140000270,K992,晨市,凤兰市,1577721600,1577980800
940000271,Y785,秀梅县,鑫市,1577721600,1577980800
440000272,Y646,长春县,太原市,1577721600,1577980800
940000273,L289,兴城市,阳县,1577721600,1577980800
840000274,R341,桂芝县,桂花市,1577721600,1577980800
240000275,N698,博县,浩县,1577721600,1577980800
540000276,G121,武汉市,辛集县,1577721600,1577980800
340000277,N238,荆门市,志强县,1577721600,1577980800
140000278,A474,齐齐哈尔市,东市,1577721600,1577980800
640000280,S236,杭州县,宁德市,1577721600,1577980800
240000281,E271,福州市,福州市,1577721600,1577980800
340000282,N977,旭县,通辽市,1577721600,1577980800
940000283,R598,丽丽市,坤县,1577721600,1577980800
240000284,D364,沈阳市,西安县,1577721600,1577980800
440000285,C810,太原县,丽丽县,1577721600,1577980800
840000286,R656,哈尔滨市,欢市,1577721600,1577980800
840000287,E324,玲市,潜江市,1577721600,1577980800
640000288,K622,建军市,惠州市,1577721600,1577980800
340000289,S032,昆明县,宁德县,1577721600,1577980800
340000290,S557,超市,沈阳市,1577721600,1577980800
640000292,A478,建国市,桂英县,1577721600,1577980800
640000293,Z133,六安县,淮安县,1577721600,1577980800
440000294,C913,郑州市,合肥县,1577721600,1577980800
640000295,C534,桂花市,玉珍市,1577721600,1577980800
240000296,G324,秀云市,红梅县,1577721600,1577980800
140000297,E557,桂兰市,英县,1577721600,1577980800
240000298,Y829,潜江市,北京市,1577721600,1577980800
240000299,S311,合山市,郑州市,1577721600,1577980800
940000300,Y897,西安市,太原市,1577721600,1577980800
140000301,Z753,兰州县,龙县,1577721600,1577980800
140000302,D992,龙市,霞县,1577721600,1577980800
540000303,R521,合肥县,福州市,1577721600,1577980800
240000304,D250,勇市,张家港县,1577721600,1577980800
940000305,L240,丽娟市,上海市,1577721600,1577980800
940000306,A904,宁市,武汉市,1577721600,1577980800
840000307,A654,辽阳县,济南县,1577721600,1577980800
640000308,Y112,东莞市,淑珍县,1577721600,1577980800
540000309,H134,丽丽县,齐齐哈尔县,1577721600,1577980800
940000310,R100,桂花县,凯市,1577721600,1577980800
140000311,C784,银川县,建平县,1577721600,1577980800
440000312,R696,桂香市,雪市,1577721600,1577980800
340000313,D609,雪梅县,上海县,1577721600,1577980800
440000314,T018,畅市,梧州市,1577721600,1577980800
940000315,R905,淮安县,海门市,1577721600,1577980800
240000316,E120,长沙县,香港市,1577721600,1577980800
640000317,R202,北京市,英市,1577721600,1577980800
540000318,A566,沈阳县,荣县,1577721600,1577980800
340000319,T004,沈阳市,六安市,1577721600,1577980800
240000320,H013,博县,刚县,1577721600,1577980800
540000321,L578,张家港市,桂荣市,1577721600,1577980800
240000322,H799,鑫市,桂花县,1577721600,1577980800
440000323,C879,彬市,建军县,1577721600,1577980800
640000324,A221,兰州市,文县,1577721600,1577980800
140000325,Z230,淮安县,大冶县,1577721600,1577980800
740000326,D978,俊市,颖县,1577721600,1577980800
340000327,Y763,汕尾市,桂香县,1577721600,1577980800
140000328,G005,鹏县,婷县,1577721600,1577980800
840000329,T366,通辽市,石家庄市,1577721600,1577980800
840000330,D949,莉县,惠州县,1577721600,1577980800
540000331,S048,秀梅市,俊县,1577721600,1577980800
440000332,Z510,平县,军县,1577721600,1577980800
940000333,Y240,关岭县,东莞县,1577721600,1577980800
740000334,K053,哈尔滨市,乌鲁木齐县,1577721600,1577980800
340000335,N012,建华县,福州县,1577721600,1577980800
540000336,H302,利市,倩市,1577721600,1577980800
140000337,E525,宜都市,海门市,1577721600,1577980800
440000338,L118,坤市,军县,1577721600,1577980800
640000339,C522,雷市,马鞍山市,1577721600,1577980800
640000341,E522,娟县,浩县,1577721600,1577980800
840000342,H875,沈阳县,沈阳市,1577721600,1577980800
140000343,Z503,霞市,沈阳县,1577721600,1577980800
440000344,H502,东莞市,广州县,1577721600,1577980800
740000345,L754,呼和浩特县,鑫市,1577721600,1577980800
940000346,K414,杭州县,贵阳县,1577721600,1577980800
740000347,N603,哈尔滨市,重庆市,1577721600,1577980800
140000348,C934,拉萨市,宇市,1577721600,1577980800
140000349,L351,太原市,桂芳市,1577721600,1577980800
940000350,G924,淑华县,婷婷县,1577721600,1577980800
740000351,K243,呼和浩特市,佛山县,1577721600,1577980800
640000352,T286,天津市,汕尾县,1577721600,1577980800
140000353,Y390,霞市,南京市,1577721600,1577980800
740000354,S010,梅市,红梅县,1577721600,1577980800
740000355,Z315,通辽县,丹丹县,1577721600,1577980800
840000356,S629,婷婷县,太原县,1577721600,1577980800
940000357,A667,娟市,志强市,1577721600,1577980800
640000358,H553,丹市,涛市,1577721600,1577980800
540000359,D818,佳市,惠州县,1577721600,1577980800
840000361,R167,凯县,北京市,1577721600,1577980800
740000362,R683,哈尔滨市,杰县,1577721600,1577980800
540000363,N347,想县,福州县,1577721600,1577980800
940000364,G590,宁德县,兰州市,1577721600,1577980800
940000366,G552,澳门县,秀兰市,1577721600,1577980800
440000367,C146,伟市,宁德县,1577721600,1577980800
740000368,C261,哈尔滨县,长春县,1577721600,1577980800
540000369,Y314,健县,上海市,1577721600,1577980800
540000370,T190,晨县,文市,1577721600,1577980800
440000371,T254,福州县,文市,1577721600,1577980800
440000372,G713,济南县,呼和浩特县,1577721600,1577980800
840000373,K797,超县,合肥市,1577721600,1577980800
840000374,H657,辽阳县,合肥市,1577721600,1577980800
740000375,E347,玉梅县,长春市,1577721600,1577980800
440000376,N665,秀梅县,济南县,1577721600,1577980800
140000377,L516,淮安县,澳门市,1577721600,1577980800
740000378,T739,冬梅市,天津县,1577721600,1577980800
240000379,Y190,深圳县,玉梅市,1577721600,1577980800
340000380,G947,东市,汕尾县,1577721600,1577980800
240000382,N066,璐县,香港市,1577721600,1577980800
840000383,C232,飞县,惠州县,1577721600,1577980800
540000384,A304,海门市,兰英县,1577721600,1577980800
940000385,T623,丽丽县,佛山市,1577721600,1577980800
440000386,T410,长沙县,彬市,1577721600,1577980800
340000387,Y428,惠州市,帅县,1577721600,1577980800
740000388,A226,郑州县,太原县,1577721600,1577980800
240000389,K759,杨县,桂花市,1577721600,1577980800
140000390,Y519,澳门县,瑜县,1577721600,1577980800
940000391,Z796,玉兰县,南宁市,1577721600,1577980800
540000392,C560,银川县,阳县,1577721600,1577980800
440000393,Y846,佛山市,想县,1577721600,1577980800
840000394,A074,桂花市,婷婷市,1577721600,1577980800
740000395,R040,六安市,潮州县,1577721600,1577980800
640000396,K330,建国县,昆明县,1577721600,1577980800
340000397,D219,武汉县,荣县,1577721600,1577980800
940000398,K271,敏市,文市,1577721600,1577980800
140000399,K142,丽丽市,武汉市,1577721600,1577980800
540000400,N750,惠州市,平县,1577721600,1577980800
340000401,T315,秀珍县,西宁市,1577721600,1577980800
140000402,T367,六盘水县,峰县,1577721600,1577980800
440000403,A479,强市,福州市,1577721600,1577980800
440000404,T978,秀梅县,雷市,1577721600,1577980800
740000405,Z507,艳县,淑兰市,1577721600,1577980800
540000406,D440,超县,哈尔滨市,1577721600,1577980800
340000407,T069,合肥县,澳门市,1577721600,1577980800
740000408,L824,哈尔滨县,佛山市,1577721600,1577980800
840000409,C802,贵阳市,潮州市,1577721600,1577980800
540000410,Z820,六安县,南宁县,1577721600,1577980800
640000411,T549,永安县,英县,1577721600,1577980800
840000412,L196,荣县,淑珍县,1577721600,1577980800
540000413,S703,霞市,海门市,1577721600,1577980800
340000414,D997,天津县,太原县,1577721600,1577980800
540000415,S578,宁德市,玉华市,1577721600,1577980800
540000416,Y819,建军市,凤兰市,1577721600,1577980800
240000417,N903,天津县,阜新市,1577721600,1577980800
340000418,Z524,长沙县,娟县,1577721600,1577980800
540000419,N002,深圳市,哈尔滨县,1577721600,1577980800
440000420,K898,洋县,惠州市,1577721600,1577980800
540000421,K179,惠州市,玉市,1577721600,1577980800
940000422,G080,合山市,凯市,1577721600,1577980800
240000423,T640,浩县,六盘水县,1577721600,1577980800
740000424,G166,玉珍市,深圳县,1577721600,1577980800
640000425,S413,桂珍县,玉珍县,1577721600,1577980800
440000426,C135,金凤市,玉华市,1577721600,1577980800
240000427,R614,马鞍山县,建华县,1577721600,1577980800
540000428,A713,冬梅县,明市,1577721600,1577980800
340000429,T417,乌鲁木齐县,淮安县,1577721600,1577980800
340000430,Y516,哈尔滨市,楠县,1577721600,1577980800
340000431,G814,浩市,兰州县,1577721600,1577980800
740000432,R281,凤兰市,琳县,1577721600,1577980800
240000433,S317,坤市,强市,1577721600,1577980800
340000434,S632,东市,嘉禾市,1577721600,1577980800
140000435,N626,成市,兴城县,1577721600,1577980800
840000437,Y285,荆门县,柳县,1577721600,1577980800
840000438,C488,沈阳县,沈阳市,1577721600,1577980800
340000439,Z061,兴城市,红县,1577721600,1577980800
840000440,G270,济南县,桂芳市,1577721600,1577980800
740000441,G737,玉华市,济南县,1577721600,1577980800
840000442,A258,静市,玉珍市,1577721600,1577980800
240000443,N334,郑州县,玉珍市,1577721600,1577980800
540000444,H438,邯郸市,雪县,1577721600,1577980800
540000445,Y984,娜县,淮安县,1577721600,1577980800
240000446,H288,张家港县,梧州市,1577721600,1577980800
440000447,A932,天津市,雪市,1577721600,1577980800
240000448,T711,瑜市,香港县,1577721600,1577980800
840000449,S711,长春市,桂芳市,1577721600,1577980800
240000450,G342,秀荣市,西安县,1577721600,1577980800
840000451,S801,西安县,太原县,1577721600,1577980800
540000452,N539,洁市,淑兰县,1577721600,1577980800
840000453,S754,晨县,南昌市,1577721600,1577980800
140000454,K679,桂珍市,邯郸县,1577721600,1577980800
440000455,K947,哈尔滨市,丽华县,1577721600,1577980800
840000456,D830,张家港市,宜都县,1577721600,1577980800
940000457,C205,琴县,宜都县,1577721600,1577980800
840000458,E907,昆明市,军市,1577721600,1577980800
940000459,L039,梅县,瑜县,1577721600,1577980800
140000460,L640,嘉禾县,琳市,1577721600,1577980800
840000461,D495,莉市,重庆县,1577721600,1577980800
540000462,Y385,东莞县,昆明市,1577721600,1577980800
340000463,R233,健县,惠州县,1577721600,1577980800
240000464,H577,想市,倩县,1577721600,1577980800
640000465,A177,秀芳县,丽华市,1577721600,1577980800
440000466,C681,长春县,贵阳市,1577721600,1577980800
340000467,E647,淮安县,阜新县,1577721600,1577980800
740000468,C786,西安市,邯郸县,1577721600,1577980800
440000469,N951,晶市,欣县,1577721600,1577980800
840000470,N604,太原市,华市,1577721600,1577980800
640000471,T765,静县,斌县,1577721600,1577980800
740000472,C207,宇县,帆县,1577721600,1577980800
540000473,T809,桂花市,雪梅县,1577721600,1577980800
540000474,L253,飞县,岩市,1577721600,1577980800
540000475,C587,海燕市,秀珍市,1577721600,1577980800
840000476,N663,刚市,桂兰县,1577721600,1577980800
540000477,Y748,宜都市,东市,1577721600,1577980800
740000478,R246,玉英市,合肥市,1577721600,1577980800
740000479,N392,林县,长沙县,1577721600,1577980800
240000480,A975,桂英县,欢市,1577721600,1577980800
440000481,L764,六盘水县,俊县,1577721600,1577980800
540000482,G668,雪县,柳州市,1577721600,1577980800
240000483,K768,淮安县,建国县,1577721600,1577980800
440000484,N521,宁德市,海燕市,1577721600,1577980800
240000485,Z448,宜都县,辛集市,1577721600,1577980800
740000486,G787,凤兰市,兰州县,1577721600,1577980800
940000487,D343,萍市,北京县,1577721600,1577980800
240000488,L667,南京市,香港市,1577721600,1577980800
740000489,D524,桂兰市,宇市,1577721600,1577980800
340000490,H613,博县,辽阳县,1577721600,1577980800
240000491,T844,合肥市,合山县,1577721600,1577980800
240000492,Y448,丽娟县,汕尾市,1577721600,1577980800
340000493,S063,建市,北京县,1577721600,1577980800
240000494,D272,佛山市,南京县,1577721600,1577980800
340000495,D718,想市,西安县,1577721600,1577980800
940000496,Y301,玉华市,上海市,1577721600,1577980800
740000497,L579,岩市,北镇市,1577721600,1577980800
740000498,A791,潮州市,冬梅市,1577721600,1577980800
340000499,Y621,丽丽市,宜都县,1577721600,1577980800
340000500,N669,波市,军县,1577721600,1577980800
740000501,G779,哈尔滨县,淑英市,1577721600,1577980800
940000502,G484,潮州市,马鞍山县,1577721600,1577980800
140000503,H621,荆门县,嘉禾市,1577721600,1577980800
140000504,T694,大冶市,玲县,1577721600,1577980800
540000505,S203,邯郸县,雷县,1577721600,1577980800
740000506,E807,银川市,宁德市,1577721600,1577980800
240000507,Y561,大冶市,旭县,1577721600,1577980800
840000508,A620,秀珍市,辽阳县,1577721600,1577980800
640000509,T690,荆门市,倩市,1577721600,1577980800
540000510,Y203,梧州县,东莞县,1577721600,1577980800
540000511,D662,宜都县,秀云县,1577721600,1577980800
740000512,A076,洋市,海口县,1577721600,1577980800
940000513,T859,北镇县,健市,1577721600,1577980800
540000514,T969,北镇市,杨市,1577721600,1577980800
740000515,H703,嘉禾市,楠市,1577721600,1577980800
740000516,Y259,马鞍山县,巢湖市,1577721600,1577980800
540000517,A439,志强县,东莞市,1577721600,1577980800
640000518,L728,凤英市,红霞市,1577721600,1577980800
340000519,Y953,雷市,明县,1577721600,1577980800
740000520,S656,红霞市,潮州县,1577721600,1577980800
940000521,L647,飞县,萍市,1577721600,1577980800
940000522,E461,上海市,旭县,1577721600,1577980800
940000524,K836,通辽县,香港县,1577721600,1577980800
140000525,L239,太原县,伟县,1577721600,1577980800
840000526,T791,银川市,文县,1577721600,1577980800
740000527,S633,旭县,合肥市,1577721600,1577980800
140000528,Y899,杭州市,婷县,1577721600,1577980800
140000529,K628,嘉禾县,上海市,1577721600,1577980800
140000530,Z940,斌市,兰州市,1577721600,1577980800
940000531,E919,重庆县,丹县,1577721600,1577980800
540000532,N544,莉县,岩市,1577721600,1577980800
