jid,companyid,companyname,qyxz,qydz,clrq
230000019,79e7a864ac401013e2d603ca7e56f59b,网新恒天网络有限公司,信息有限公司,新疆维吾尔自治区欣县新城辽阳路H座,1496592000
530000020,81575ad607d24041d8113ffce48a93dc,昂歌信息科技有限公司,传媒有限公司,河南省嘉禾市南长柳州路A座,1440691200
430000021,77ba08be29a02da31f52998b23ebb0ba,维旺明科技有限公司,信息有限公司,湖北省马鞍山市朝阳银川路h座,1443888000
730000022,a89ba94df6a896bc0fade0b32f510057,中建创业信息有限公司,网络有限公司,江西省斌县长寿王街X座,1491926400
330000023,549cac92c9c5b5df824ab8111b606803,超艺信息有限公司,传媒有限公司,西藏自治区莹市黄浦潘路W座,1453046400
830000024,ee55e2762422876062c117ec87493c3f,天开网络有限公司,信息有限公司,浙江省建军县普陀齐齐哈尔街H座,1447084800
330000025,99f17faf5b84942ca6fb7c8a81f00fa5,图龙信息网络有限公司,网络有限公司,江西省马鞍山市徐汇太原街u座,1486224000
930000026,d4b71f7f05d9c993dbee21939b70f373,良诺网络有限公司,网络有限公司,重庆市凤兰县江北陶路Q座,1451664000
930000027,b1f08d2ea4313dd2bc9a9d1c2a8ebf5d,群英信息有限公司,传媒有限公司,山西省秀兰市城北南京街l座,1484064000
330000028,c77a80244f4d33836f5ddd4de3b814c5,黄石金承传媒有限公司,网络有限公司,广东省云市孝南陈街H座,1437580800
830000029,bc82d1bc1775883489cad40383bb1910,创亿科技有限公司,网络有限公司,山东省银川县南长乌鲁木齐街U座,1476374400
530000030,a9c33e33342221609b3618d6124b0f97,鑫博腾飞信息有限公司,信息有限公司,内蒙古自治区文县金平林街u座,1492099200
230000031,b089f055c8cb542087453edcc4460eaf,凌云信息有限公司,信息有限公司,辽宁省志强市西峰阎街h座,1450195200
230000032,aa7309a6cd508e44cbcc7b13f638d511,兰金电子网络有限公司,信息有限公司,黑龙江省六盘水县友好昆明路h座,1474905600
230000033,83423fa0f35e08241818d48281cebf65,东方峻景科技有限公司,信息有限公司,山西省贵阳市南长马鞍山街k座,1431792000
730000034,34173100e4f95b28904241337a45ddbd,巨奥网络有限公司,网络有限公司,山东省莉县滨城潮州街S座,1450195200
530000035,a03b9fb5d7362bcc900a0de49ae4684e,MBP软件传媒有限公司,网络有限公司,山东省慧市孝南韩街A座,1434384000
230000036,b729c84fad8954e283988fdda703bb3c,迪摩科技有限公司,信息有限公司,陕西省雷县永川佛山街R座,1449244800
430000037,dcf0b9ab9f24ba8201e7026625f56632,时刻科技有限公司,传媒有限公司,福建省杭州市沈河长沙路z座,1495987200
630000038,d6a1874e4714d42e4951f3dc37107e6a,诺依曼软件科技有限公司,网络有限公司,甘肃省银川县六枝特潜江路b座,1491840000
830000039,b424b1d37516d9e9a3b4c4fb6b56da5e,图龙信息信息有限公司,信息有限公司,浙江省天津市沈北新吴街x座,1504281600
230000040,5ec2a1f4e2b1b47d8c031f4eb7d42a38,飞利信网络有限公司,信息有限公司,香港特别行政区惠州市永川澳门路X座,1445702400
230000041,dbb7772e42822f37b98bd96c71cd464b,新宇龙信息网络有限公司,网络有限公司,吉林省秀梅市海港何街P座,1452182400
130000042,67507af2d6e8b552f19deb3c26f7ac85,方正科技网络有限公司,传媒有限公司,重庆市贵阳县南湖南昌路O座,1474214400
430000043,56b0738ed3186b5173749fc336c8373c,海创网络有限公司,科技有限公司,黑龙江省明县清浦赵街V座,1452960000
730000044,31b30ee52e69298bab0df005c78046e7,时空盒数字信息有限公司,网络有限公司,广西壮族自治区斌市普陀宋街G座,1481126400
930000045,5480cca1e43a8f682e16f81f07b3b174,易动力网络有限公司,网络有限公司,新疆维吾尔自治区长沙县长寿马路Y座,1430323200
930000046,887d0b67152c26f179491b5534bb8df9,创汇网络有限公司,科技有限公司,天津市辛集市浔阳赵路m座,1447776000
330000047,65e82cac6e286b91d19ad2f4ad78f923,立信电子网络有限公司,科技有限公司,陕西省超县城北银川街J座,1441814400
830000048,dca853dbcfab47f41505e9620e95cc76,群英科技有限公司,信息有限公司,吉林省磊县海陵海口街V座,1456588800
630000049,9c07ed0badd13f44c0cf02bb86e57f11,彩虹信息有限公司,传媒有限公司,河北省鑫市安次何街T座,1433606400
530000050,df67b8a82771dc38754896cdbed1e873,快讯网络有限公司,网络有限公司,台湾省兴城市南湖荆门街S座,1430928000
330000051,0d3cb2b89cd929301ec3c091e320c303,天益网络有限公司,网络有限公司,四川省嘉禾县西峰兴安盟街I座,1514304000
430000052,d30404939e4e711337a8225332ca7e2c,诺依曼软件网络有限公司,信息有限公司,福建省拉萨县海港张路t座,1431100800
230000053,658ba092bf6d2db6ee74290448c9fed3,时刻网络有限公司,信息有限公司,江苏省上海市怀柔李街k座,1462896000
330000054,b06b828f5a67883f9b54bee9b7a992a1,盟新传媒有限公司,传媒有限公司,浙江省哈尔滨市璧山荆门路w座,1421337600
230000055,fe35d13aaa2d5c8b3c76bc8ea1f91f39,盟新科技有限公司,信息有限公司,内蒙古自治区颖市璧山宜都街h座,1496592000
130000056,c9fac2b09a8bc432f9a96fe58da9b5b9,海创传媒有限公司,传媒有限公司,广东省桂花县永川巢湖街c座,1434902400
630000057,ff4f2c9ba831869097790f052a3cb07e,万迅电脑网络有限公司,科技有限公司,青海省龙县华龙呼和浩特街f座,1429977600
130000058,32dcf8de06a9c2a9cbc0094cc6ca7460,方正科技传媒有限公司,科技有限公司,天津市通辽县新城合肥路b座,1431705600
130000059,584815d5adbaa75589518843b187cb5b,恩悌信息有限公司,科技有限公司,浙江省宁德县怀柔黄路a座,1493222400
930000060,a2e15c897a6b97b8adf0f62fb16f2c73,诺依曼软件信息有限公司,传媒有限公司,湖北省宁市城东南昌路Q座,1456243200
430000061,9759cf6079ea7425a8f54ca1aac08d39,创汇科技有限公司,传媒有限公司,湖南省天津市沙湾谢路H座,1458144000
630000062,b2d214cb5b4544af6cb342d67bca2c85,同兴万点信息有限公司,信息有限公司,青海省福州县新城太原街Y座,1435680000
130000063,124dcea64eac1344dc022a96d5e32c95,易动力网络有限公司,科技有限公司,福建省南京市萧山西安路m座,1464969600
230000064,82dbd83ba133a36371dcfb4cc09e2875,迪摩信息有限公司,信息有限公司,香港特别行政区林市秀英海口街J座,1492012800
830000065,e5f4ebc60223254a34769c2a0246cdd2,天益网络有限公司,信息有限公司,陕西省乌鲁木齐县魏都彭路y座,1476806400
330000066,fd7c0b81f4057aaf0a33708ba099c111,天开网络有限公司,网络有限公司,江西省西宁市友好林路Y座,1511798400
830000067,4691c30952e8a3b92ec20cbb7503db17,开发区世创传媒有限公司,科技有限公司,山西省呼和浩特市门头沟颜街r座,1445011200
230000068,39fce907ef8a1c071ce4d9d3030e3860,图龙信息传媒有限公司,网络有限公司,江苏省帆县蓟州李街G座,1447776000
430000069,6b170522568d7cf590e5b78e9711efd4,东方峻景网络有限公司,网络有限公司,江西省台北市新城合山街e座,1432569600
230000070,08d217b3a6c3325c7293ea0b2ba38fdc,巨奥信息有限公司,科技有限公司,山西省健县蓟州淮安路y座,1451404800
430000071,a8eb920c0695647f687732b869e23499,天益信息有限公司,科技有限公司,江苏省萍市朝阳刘街h座,1483977600
830000072,885381acb68bf5aa69460a9dd2ad4874,方正科技科技有限公司,网络有限公司,湖南省宁德市东城崔街O座,1492704000
730000073,d4a330a597fde8f284e63301a8cc9bca,惠派国际公司传媒有限公司,传媒有限公司,青海省金凤县清城北京路H座,1468425600
630000074,72af37e3222decc2175059e2bbaa2d8b,新宇龙信息科技有限公司,传媒有限公司,江西省丹市平山苏路N座,1460044800
430000075,6cc59e27d55711de636246a264c403ae,凌云信息有限公司,网络有限公司,重庆市南昌市高坪荆门街p座,1509033600
530000076,245857a2798c90a438595cc205d47983,菊风公司科技有限公司,科技有限公司,福建省澳门县吉区沈阳街y座,1480608000
630000077,543ada87beb0f2e82aadf7a8e265a6cf,维涛传媒有限公司,科技有限公司,广东省金凤市崇文郜路h座,1456848000
930000078,e5c9cd926252d6609829625896850d5d,昊嘉科技有限公司,传媒有限公司,西藏自治区丹丹市清河王路V座,1462291200
630000079,369b8e5be0305b4334e3bbf8920e3a1c,MBP软件传媒有限公司,科技有限公司,澳门特别行政区海门市长寿王街M座,1485792000
730000080,db405d931d4a96cb936586b422f37551,戴硕电子信息有限公司,信息有限公司,广西壮族自治区六盘水市长寿合山街P座,1426089600
430000081,cfab24711911b31590c969e1adb04ec4,恩悌科技有限公司,传媒有限公司,新疆维吾尔自治区建军市高明齐齐哈尔街U座,1444320000
430000082,a8774f1ae65225b5c091348a0e16cb87,思优网络有限公司,传媒有限公司,台湾省飞市锡山天津街l座,1505318400
830000083,a4e1c785ccde6cf3c52336d8f0de853e,群英传媒有限公司,科技有限公司,香港特别行政区邯郸市蓟州王路G座,1498406400
930000084,4568b615c71da9880f6531b3c87d8770,联通时科科技有限公司,网络有限公司,上海市莹市淄川陈街t座,1511020800
230000085,b5b3b1379c37b8bb6fc3b5f913a6455c,鑫博腾飞科技有限公司,传媒有限公司,新疆维吾尔自治区马鞍山市怀柔郑路W座,1420992000
630000086,26dce9b95e7412773313d498f178a7f5,巨奥科技有限公司,科技有限公司,海南省飞县大兴汕尾路M座,1476806400
630000087,0655e31f1c752897915fd35c239e6819,明腾信息有限公司,信息有限公司,山西省沈阳县永川曾街a座,1451923200
330000088,cb9e5e7cdd39b3a14604d7756d914ea1,方正科技传媒有限公司,传媒有限公司,吉林省娟县沙市詹街D座,1510502400
630000089,081db76768b5c4c89fa0e116a1d6ed6f,超艺科技有限公司,传媒有限公司,天津市西安市黄浦南昌路n座,1450454400
530000090,2b468e113b0057be9e930778f0e44e36,网新恒天科技有限公司,传媒有限公司,湖北省鹏县沈北新呼和浩特街x座,1502208000
430000091,5fa1b697e00a0820a90f857395ff0899,图龙信息传媒有限公司,网络有限公司,新疆维吾尔自治区西安县淄川胡路X座,1463155200
330000092,80647c7948c16979ff7da01e5da60f14,精芯传媒有限公司,传媒有限公司,澳门特别行政区芳市华龙兰州路k座,1508428800
930000093,de7c3d8a45d6129dc63f2851aea73715,新格林耐特科技有限公司,网络有限公司,内蒙古自治区乌鲁木齐市牧野黄街X座,1497110400
130000094,12c59c75290e914537c243e638fe2533,明腾传媒有限公司,传媒有限公司,广东省重庆县孝南叶路p座,1467648000
630000095,648b8ea9b61207b46b95086af95f5f04,九方网络有限公司,网络有限公司,台湾省北京市徐汇郑州街A座,1457798400
730000096,ca7a1fc89278f73dfe329c64937ccf65,立信电子传媒有限公司,网络有限公司,天津市深圳市平山郭路D座,1421942400
330000097,8825908d050834897ea32c1bc0e3405b,鸿睿思博传媒有限公司,科技有限公司,陕西省婷婷县牧野李街H座,1426348800
930000098,4d9dbc073868019bc66d9ba3531161cf,新格林耐特网络有限公司,信息有限公司,黑龙江省琴市新城长春街z座,1430064000
730000099,adc3dd91b871355140724c1ed483adae,飞海科技科技有限公司,网络有限公司,吉林省梧州县崇文深圳路e座,1449158400
630000100,35a73272cb178d666a037f0de16f8c89,趋势信息有限公司,科技有限公司,新疆维吾尔自治区海燕县南溪通辽街f座,1489248000
130000101,be0139c39b0e46d8477801a170ba1b3b,明腾网络有限公司,科技有限公司,吉林省婷县西夏阜新街t座,1469808000
430000102,e5eb2b0b865453f90fa24d1361547fff,信诚致远传媒有限公司,网络有限公司,北京市海门市清浦靳路N座,1506268800
130000103,7809f422cf54902177203d0ea5b9f91f,黄石金承科技有限公司,科技有限公司,西藏自治区宁德县滨城昆明路F座,1502294400
630000104,889c05d761e1d07e30a01403071eee98,戴硕电子科技有限公司,信息有限公司,内蒙古自治区阜新县魏都陈街r座,1451923200
430000105,74cea7a22002b8237ee55c39aa87f6e0,立信电子科技有限公司,网络有限公司,山西省玉珍市崇文成都街H座,1449158400
730000106,3bb38acadbc9926db2249edeccfba7ba,合联电子科技有限公司,传媒有限公司,四川省六安市滨城钱路t座,1441555200
930000107,ea619ec958b6b64461fc1a86e69cff2e,毕博诚网络有限公司,科技有限公司,安徽省广州市淄川澳门街l座,1434988800
330000108,5174027f661f3f1c5aac720c3d9bac2b,合联电子网络有限公司,传媒有限公司,河南省海口县合川沈阳路l座,1471968000
130000109,4a8e959ab051509912e04d6cad5ed8bd,佳禾科技有限公司,科技有限公司,云南省春梅县锡山蔡路o座,1504108800
830000110,168d2bf66d19681a5e926aafab607e1a,方正科技网络有限公司,网络有限公司,河南省关岭市崇文阜新街p座,1448553600
730000111,d85ecc0a37478f4de5b8f07ca181aef6,联软科技有限公司,科技有限公司,贵州省兰英市吉区张街V座,1480176000
530000112,37f53d34567c1a464ad4b729531cb5c4,创亿网络有限公司,信息有限公司,澳门特别行政区帅县高港太原路Z座,1420646400
430000113,d9bf0ec62c9e420f8b0920bd30752e59,联软信息有限公司,网络有限公司,陕西省梅市滨城张家港街S座,1474214400
130000114,2fb5a799017193a8fcf07b94583dad7b,时刻科技有限公司,传媒有限公司,河北省南京县沙湾巢湖街L座,1472486400
530000115,a7a91d7847a940a8e185642621c49a32,毕博诚传媒有限公司,网络有限公司,江苏省兰州市城北林路T座,1431705600
530000116,7d8bbde69acead0473a88f2fa7e86041,群英科技有限公司,网络有限公司,天津市邯郸市高坪巢湖路r座,1440086400
730000117,adb1522180ca1ef343eac26df2e28a09,时空盒数字科技有限公司,科技有限公司,河南省瑞县崇文李街I座,1470585600
530000118,3802408bd45b66e4280a63c28029a5dd,飞海科技科技有限公司,网络有限公司,福建省秀云县沈北新哈尔滨路S座,1501257600
230000119,999efe050d3e894e4ce864c59c539ffa,飞利信科技有限公司,信息有限公司,西藏自治区飞县永川兴安盟路E座,1457107200
630000120,ee6ba23c1bf8b6595260d13df8d2ae44,浙大万朋信息有限公司,科技有限公司,广西壮族自治区阜新市沈河李路G座,1470067200
830000121,98c7b0f94547a52d60f4632bec15fc30,网新恒天网络有限公司,网络有限公司,山西省齐齐哈尔县山亭汕尾街G座,1492704000
330000122,0241d165953971bdbcf22db0747b6e12,超艺科技有限公司,传媒有限公司,新疆维吾尔自治区太原市双滦刘街X座,1508515200
530000123,abe04d14dfa94267805cff95b0a3b28a,数字100科技有限公司,传媒有限公司,河南省广州县南长李路q座,1475424000
830000124,d87e3f56e157ada8bd383dd089ec731d,南康信息有限公司,网络有限公司,吉林省坤县锡山刘街y座,1487433600
130000125,8292c1d6f79518736f43704d7027789a,维涛网络有限公司,传媒有限公司,辽宁省福州市双滦澳门街j座,1442678400
130000126,ca92b8362f0338b884c0b4266ad497f4,万迅电脑信息有限公司,传媒有限公司,上海市杭州县怀柔姚街R座,1448899200
230000127,afc5207bd30d24c779d67bb9f2ade127,飞利信网络有限公司,网络有限公司,广西壮族自治区邯郸县花溪李街v座,1440864000
330000128,151a8939ccdac53174a007e59eadcbd2,快讯网络有限公司,科技有限公司,天津市汕尾县花溪齐齐哈尔街a座,1467043200
730000129,03640b53dcc73adf6b36d63a3106a2f2,创汇信息有限公司,网络有限公司,湖南省柳州市高坪哈尔滨路D座,1449244800
530000130,5a2760ae60aafb7cb17a37460d05d9f9,良诺科技有限公司,传媒有限公司,江西省关岭县平山郭街X座,1489766400
230000131,8c2f0e8c16face4dbe03f07241062ca9,华成育卓网络有限公司,传媒有限公司,河南省飞县淄川太原路W座,1486915200
530000132,2b85932b1b9c41ba44d69ade2da509d5,趋势科技有限公司,传媒有限公司,陕西省永安市淄川南昌路g座,1432310400
530000133,a7eec62a70a7556e23125e48fa9a98da,商软冠联网络有限公司,科技有限公司,青海省璐县沙市伍路k座,1457452800
430000134,0d487e2acf947a309202796b54ac99dd,中建创业科技有限公司,信息有限公司,河南省淑华市金平龙街k座,1467216000
130000135,9d40c7305f5de14bd3e28df83b9ff8bb,凌云信息有限公司,科技有限公司,辽宁省宁德市锡山陈街u座,1472659200
530000136,b71e9f435a893291b2d70580492b0c3e,精芯科技有限公司,网络有限公司,广东省兴安盟县华龙广州路R座,1500739200
130000137,234bc32c9f24bf1bc0a0dbabcaea05cc,时空盒数字信息有限公司,网络有限公司,澳门特别行政区上海市清浦兴安盟路p座,1512835200
230000138,8478aaee97dd3b3c9fb975cfc73bc210,快讯信息有限公司,传媒有限公司,四川省济南县翔安昆明街G座,1507910400
930000139,5f40f290c4f675be0d7a25b00f40b1b7,商软冠联科技有限公司,网络有限公司,河南省丽娟县江北宁路z座,1503244800
630000140,caa977c277aec7414dfc14cca567d2cc,济南亿次元传媒有限公司,网络有限公司,新疆维吾尔自治区太原县城东江路X座,1457366400
230000141,660f4b5bf4843911781893c8c60601cd,趋势传媒有限公司,传媒有限公司,江西省兰英县清河吴街y座,1438963200
230000142,d5ada3ff23694aeec2f971bfd5d7e338,精芯网络有限公司,传媒有限公司,河北省莹县静安程街c座,1512489600
230000143,83d55d4d080a066aa36a002d2558a4b3,晖来计算机传媒有限公司,传媒有限公司,四川省岩县南湖余街l座,1504281600
130000144,1e07806073d4370316086e22729cfcf4,同兴万点信息有限公司,科技有限公司,黑龙江省齐齐哈尔市黄浦关街Y座,1464969600
630000145,830dabab6e6ab9382f04038dca96af7d,南康科技有限公司,网络有限公司,黑龙江省嘉禾县清浦南昌街c座,1464969600
830000146,8b4dacf74d94e777acfac61515e07d27,快讯传媒有限公司,传媒有限公司,上海市合山市沙湾海门路Z座,1508428800
830000147,8e4be7dfe82e3a6a9e8533e98ae5fa6b,东方峻景网络有限公司,信息有限公司,内蒙古自治区南昌市西峰王街B座,1452528000
730000148,c52627a22235c6bd90f77cd2fbb84422,南康科技有限公司,科技有限公司,云南省长春市沈河蒋街G座,1439222400
730000149,c5df8af29581949bff95a057793c9744,超艺科技有限公司,科技有限公司,辽宁省武汉县永川兰州路i座,1438012800
430000150,41d1abe48620127e5702e9403a892b32,昊嘉网络有限公司,科技有限公司,西藏自治区健市白云关岭路z座,1487692800
330000151,61bb2ae721437719269d28b62ef0b81f,黄石金承科技有限公司,传媒有限公司,西藏自治区婷婷县高明马街F座,1451404800
230000152,7a91f74b803dd087e9ec02416f45b1a9,图龙信息科技有限公司,网络有限公司,河北省兴安盟市上街成都路k座,1478188800
930000153,24eec258f6538e17ed9a02ff8bc6a9a0,泰麒麟信息有限公司,信息有限公司,河北省济南县沙湾黄街Q座,1504195200
230000154,00ee6aaac885078efdb47f7497811be1,快讯信息有限公司,传媒有限公司,山东省沈阳县沙湾李路C座,1509552000
530000155,44bed7aebe62a7e39792e4b7c67170ca,雨林木风计算机信息有限公司,网络有限公司,香港特别行政区莉市城北梧州街x座,1454688000
630000156,474943361f18c39ff173ab58965cc747,东方峻景科技有限公司,网络有限公司,广西壮族自治区红梅市金平太原街N座,1445270400
630000157,41b9e3fc9719180e2ae2d03c06c849ae,济南亿次元科技有限公司,网络有限公司,辽宁省雪县翔安东莞路L座,1467648000
730000158,9eac8a50d047839487998c3d8a2e2331,华远软件传媒有限公司,网络有限公司,北京市小红县南湖胡街x座,1432137600
430000159,182af3511dc780a36452d75cc8db1545,太极科技有限公司,信息有限公司,山西省超市清城唐路z座,1452096000
230000160,f993a255c89c8f9c93cfd0046ccfd19e,双敏电子传媒有限公司,网络有限公司,福建省芳市海陵兴安盟路h座,1425052800
830000161,0b90e7a385d3eb6f25f7d0186c53214e,双敏电子科技有限公司,网络有限公司,江苏省巢湖市房山陈街E座,1462809600
230000162,d63b223796e133f89582dc27f47803e1,信诚致远科技有限公司,传媒有限公司,贵州省六盘水县高明潮州街U座,1482768000
730000163,d1148d5c33114ef84a86bfd87b614200,飞利信传媒有限公司,传媒有限公司,黑龙江省海门市丰都长沙路z座,1468339200
330000164,2096b0423af76ec3313f260f40558a1c,易动力科技有限公司,信息有限公司,北京市合山市长寿刘街O座,1488211200
230000165,f2e8fd7542b3312ecaa387368b8d9b02,南康网络有限公司,科技有限公司,北京市瑜市魏都黄街t座,1452182400
630000166,cf2ccddf7e1c8951d291300ad8fd464f,浙大万朋科技有限公司,科技有限公司,澳门特别行政区艳县普陀惠州街U座,1505923200
130000167,60bc0180375227b78456760589badb10,中建创业信息有限公司,信息有限公司,重庆市健县城北魏路E座,1432742400
430000168,b345a6dd405cb9b0d29627915eb908f7,九方传媒有限公司,网络有限公司,新疆维吾尔自治区合肥县门头沟钟路h座,1495728000
130000169,5523349ef4046073cf80e61a60ca4b49,飞海科技网络有限公司,信息有限公司,吉林省建平县上街李街p座,1441555200
430000170,7056f369e3075e66ac887348785ccde9,浙大万朋信息有限公司,信息有限公司,江西省娜市南长西安街X座,1477065600
730000171,29df12097027c64b86ee8a071591ddc9,新格林耐特传媒有限公司,网络有限公司,西藏自治区阜新县龙潭胡路G座,1453392000
330000172,5f50a7d588c1b05a5a9099554c3d1169,明腾信息有限公司,信息有限公司,澳门特别行政区台北县西夏王路U座,1508515200
330000173,cb38b159e21c7e0b22dceaa16da48f26,毕博诚网络有限公司,传媒有限公司,河北省燕县普陀邱街O座,1471968000
930000174,3dcece5787c9f06303865a2ce8802907,凌云网络有限公司,传媒有限公司,福建省桂荣县东城西宁街o座,1479398400
130000175,e9e3524f5c999c8ab95da4997c0b3f29,创汇传媒有限公司,科技有限公司,北京市明县闵行昆明街Q座,1477065600
430000176,90dab0cb0906476b369d9f922760318c,南康信息有限公司,信息有限公司,湖南省兴城市南长张路I座,1496073600
430000177,cc92372ae5815e3a91a1d6635ffb876d,时空盒数字科技有限公司,信息有限公司,辽宁省利市东城邝街S座,1441555200
630000178,2b74201ab451d7e3b1d5a53ff28e756a,昂歌信息信息有限公司,网络有限公司,云南省玉华市清河马鞍山街X座,1425052800
730000179,ee115e89634c8e89393c93cad2fbe699,富罳科技有限公司,信息有限公司,河北省惠州市高港成都路P座,1504022400
530000180,d863d590f2bdf032f11eaf4239e7b5aa,通际名联科技有限公司,传媒有限公司,湖北省建华市六枝特武汉街f座,1472486400
330000181,9a491b07aaa87d22a557ee44b98476c7,创联世纪信息有限公司,科技有限公司,云南省澳门县牧野杨路A座,1427472000
230000182,51a84db05376633b33aa9cf63bd40f76,时刻科技有限公司,信息有限公司,河北省娜县和平西宁路Y座,1485878400
730000183,144f47eb90c58b11fc30c7a91497603d,商软冠联信息有限公司,科技有限公司,澳门特别行政区哈尔滨县东城太原街k座,1512662400
130000184,87e9afe13b813084c8b11ccf7b168515,泰麒麟网络有限公司,网络有限公司,上海市璐县花溪姚路d座,1424188800
330000185,ca9cefed41ccfa84f0f2b9934c988ffb,凌云传媒有限公司,传媒有限公司,山东省台北市房山康路V座,1428163200
530000186,6bbb0ded5f839215b097ef96db0b53f1,南康信息有限公司,传媒有限公司,江西省广州市怀柔辽阳路s座,1438358400
530000187,3dbb997140eca946585c00d708661a9e,南康科技有限公司,科技有限公司,安徽省汕尾市西峰杨路V座,1511366400
130000188,624e5215f207096ea1a28560a887885f,诺依曼软件科技有限公司,传媒有限公司,云南省辽阳县海港盛路i座,1456156800
830000189,facec75d30fe99ac1d4402004f6277dd,九方传媒有限公司,信息有限公司,吉林省澳门县东丽孙街s座,1487347200
530000190,33dbd00eff386fb25086ef683c5c503a,富罳科技有限公司,传媒有限公司,贵州省北镇市高明王街i座,1466697600
130000191,7a5d6aab1b2984e1bcd08306388a3e16,明腾传媒有限公司,信息有限公司,内蒙古自治区杭州市海陵苏街c座,1498579200
930000192,e6461a952117575573c7511375fabf8c,国讯科技有限公司,传媒有限公司,河北省玉珍县上街马鞍山路W座,1484841600
330000193,8db0b4aae8953ab7b45d5111aa4f9065,数字100网络有限公司,网络有限公司,广东省广州市沙市西安街E座,1504540800
930000194,4d80a827e62c658c84aaf9efc3a4a56b,凌云信息有限公司,传媒有限公司,海南省哈尔滨市萧山李街T座,1484323200
930000195,e1272417ff0c31341c8337dcfc27a5ff,精芯网络有限公司,信息有限公司,江西省北京县黄浦邱街n座,1428508800
530000196,22862ecc550ab5edd23beb14d366c43f,飞海科技传媒有限公司,信息有限公司,宁夏回族自治区贵阳市海陵陈街l座,1462377600
730000197,8eebb9b92ca2bbd3250e8018efaf2dff,中建创业传媒有限公司,科技有限公司,辽宁省红梅县山亭济南路N座,1429804800
630000198,8b91315d0c53d281d20c252b9f770d80,通际名联网络有限公司,信息有限公司,贵州省兰州县江北朱街r座,1501257600
830000199,fddaa10f1806db3bfd7edd47afbc4a75,时空盒数字科技有限公司,信息有限公司,北京市洁县友好银川路Y座,1494518400
830000200,2e1e3e19109877db50e9cbd37d03a6c1,飞利信网络有限公司,网络有限公司,江西省梧州县上街李路w座,1438272000
830000201,d92c991c01100abfbad746737f39a1dd,雨林木风计算机科技有限公司,传媒有限公司,甘肃省楠县西峰刘街D座,1503763200
830000202,37e0700a7b4c438b50e7de4995694f0b,超艺信息有限公司,科技有限公司,天津市兰英市大兴广州街N座,1501862400
230000203,a653921dcd79127a8bbbd7e164accb5a,晖来计算机信息有限公司,传媒有限公司,河南省瑜县兴山哈尔滨路y座,1453046400
930000204,6b158180a382defe61d002bb284b9151,晖来计算机传媒有限公司,信息有限公司,江西省建军县沈北新贵阳街a座,1456416000
530000205,cf2e0793508e0f4744199a053688dd01,明腾信息有限公司,信息有限公司,河南省洁县徐汇辛集街Z座,1463155200
