jid,hbh,sfd,mdd,qfsj,ddsj
720000070,WC316,佛山县,磊县,1577721600,1577980800
620000071,HK970,健县,西宁市,1577721600,1577980800
820000072,SZ175,兴安盟县,太原县,1577721600,1577980800
920000073,HK755,巢湖市,小红县,1577721600,1577980800
620000074,SC774,郑州市,辛集县,1577721600,1577980800
720000075,WH052,广州市,福州县,1577721600,1577980800
120000076,MD432,福州县,巢湖县,1577721600,1577980800
820000077,CZ094,福州市,马鞍山县,1577721600,1577980800
820000078,HR319,兴城市,重庆县,1577721600,1577980800
320000079,WH891,宇市,海燕县,1577721600,1577980800
420000080,SC785,帅市,梧州市,1577721600,1577980800
820000081,CZ649,瑜市,东莞市,1577721600,1577980800
120000082,MD399,澳门县,张家港市,1577721600,1577980800
820000083,TV331,桂珍县,婷婷县,1577721600,1577980800
920000084,SZ275,呼和浩特县,永安县,1577721600,1577980800
520000085,MD232,嘉禾市,北京市,1577721600,1577980800
420000086,MU324,巢湖市,桂荣县,1577721600,1577980800
920000087,WH754,香港市,丹县,1577721600,1577980800
620000088,MD964,秀英市,东莞市,1577721600,1577980800
320000089,SC771,洋县,马鞍山县,1577721600,1577980800
120000090,TV387,建国县,超县,1577721600,1577980800
820000091,SZ155,东市,上海县,1577721600,1577980800
920000092,CZ829,佛山县,畅市,1577721600,1577980800
220000093,SZ808,广州县,北京县,1577721600,1577980800
420000094,HR048,重庆市,兴城市,1577721600,1577980800
520000095,MD877,天津县,石家庄市,1577721600,1577980800
420000096,3U746,飞市,潮州市,1577721600,1577980800
920000097,HK569,利市,合山县,1577721600,1577980800
320000098,SZ532,桂兰市,建国县,1577721600,1577980800
520000099,CZ277,海门市,杭州县,1577721600,1577980800
520000100,3U068,潮州县,拉萨县,1577721600,1577980800
320000101,CA972,太原县,香港市,1577721600,1577980800
220000102,TV761,玉县,阜新县,1577721600,1577980800
720000103,CJ692,惠州市,关岭县,1577721600,1577980800
120000104,3U779,乌鲁木齐市,昆明市,1577721600,1577980800
520000105,CJ979,瑞县,宜都市,1577721600,1577980800
920000106,CA186,荣县,丹丹县,1577721600,1577980800
820000107,SC662,金凤市,兴城市,1577721600,1577980800
620000108,CZ346,辛集市,明市,1577721600,1577980800
820000109,HR258,红市,惠州市,1577721600,1577980800
620000110,WH034,荣市,雪梅县,1577721600,1577980800
720000111,MU443,英县,鹏县,1577721600,1577980800
420000112,CZ501,昆明市,勇县,1577721600,1577980800
920000113,HR459,汕尾县,娜市,1577721600,1577980800
720000114,SZ786,雪县,俊县,1577721600,1577980800
320000115,TV552,马鞍山市,春梅市,1577721600,1577980800
520000116,CA040,兴安盟市,莹县,1577721600,1577980800
120000117,TV082,秀华县,梧州市,1577721600,1577980800
520000118,HR166,强县,丽市,1577721600,1577980800
120000119,CJ375,兴城县,昆明市,1577721600,1577980800
820000120,MF653,畅县,荣市,1577721600,1577980800
220000121,SZ301,杭州县,玉英市,1577721600,1577980800
320000122,CJ019,帆市,佛山市,1577721600,1577980800
620000123,HK419,沈阳市,莉县,1577721600,1577980800
520000124,MD694,健市,潜江市,1577721600,1577980800
120000125,CZ820,兰州市,呼和浩特县,1577721600,1577980800
720000126,3U112,成市,红市,1577721600,1577980800
420000127,TV109,石家庄县,天津县,1577721600,1577980800
720000128,WC473,嘉禾县,关岭县,1577721600,1577980800
620000129,HK330,南昌市,东莞县,1577721600,1577980800
120000130,MF118,荣县,建平县,1577721600,1577980800
120000131,3U104,华市,张家港县,1577721600,1577980800
720000132,TV377,刚县,福州市,1577721600,1577980800
520000133,MF942,南京市,乌鲁木齐县,1577721600,1577980800
320000134,MU232,惠州县,欣市,1577721600,1577980800
120000135,MD469,济南县,宁县,1577721600,1577980800
520000136,CJ132,汕尾县,太原县,1577721600,1577980800
320000137,MU974,淑兰市,鑫县,1577721600,1577980800
620000138,WH056,利县,霞市,1577721600,1577980800
320000139,HR882,长春县,关岭县,1577721600,1577980800
520000140,MF673,芳市,建国市,1577721600,1577980800
520000141,WC413,秀兰市,杰市,1577721600,1577980800
220000142,CJ538,秀荣县,燕县,1577721600,1577980800
920000143,TV981,张家港县,鹏市,1577721600,1577980800
820000144,SC536,晨市,桂荣市,1577721600,1577980800
920000145,3U692,荆门县,阜新县,1577721600,1577980800
920000146,CJ488,晨县,金凤县,1577721600,1577980800
120000147,CJ543,辛集县,琴县,1577721600,1577980800
620000148,SC671,志强市,西宁县,1577721600,1577980800
320000149,WH545,玉兰县,海门市,1577721600,1577980800
220000150,CJ533,旭市,斌县,1577721600,1577980800
420000151,SC617,丽丽县,北京市,1577721600,1577980800
420000152,HR401,北京市,秀芳县,1577721600,1577980800
320000153,SC064,凤兰市,桂珍县,1577721600,1577980800
720000154,HR997,海燕市,春梅县,1577721600,1577980800
720000155,SZ027,马鞍山县,成市,1577721600,1577980800
520000156,CJ901,雪市,合肥县,1577721600,1577980800
420000157,3U286,秀梅县,建县,1577721600,1577980800
320000158,CZ225,平市,志强市,1577721600,1577980800
620000159,MF255,敏市,莹县,1577721600,1577980800
620000160,SC946,广州县,华县,1577721600,1577980800
720000161,CZ340,磊市,刚市,1577721600,1577980800
920000162,CA525,冬梅市,凯县,1577721600,1577980800
720000163,CA122,太原市,重庆市,1577721600,1577980800
720000164,MU267,哈尔滨县,秀兰县,1577721600,1577980800
820000165,HR109,秀芳县,林市,1577721600,1577980800
720000166,SC248,深圳市,上海市,1577721600,1577980800
920000167,WC097,秀华市,嘉禾市,1577721600,1577980800
620000168,TV129,林市,海燕市,1577721600,1577980800
120000169,WC745,飞市,六安市,1577721600,1577980800
820000170,MF677,济南县,南宁市,1577721600,1577980800
920000171,MF852,志强市,丽丽市,1577721600,1577980800
920000172,3U575,秀芳县,秀珍市,1577721600,1577980800
620000173,HR915,莉县,兴安盟市,1577721600,1577980800
420000174,SC912,潮州县,欢市,1577721600,1577980800
920000175,TV586,北京市,秀兰市,1577721600,1577980800
220000176,MD493,勇县,丹丹市,1577721600,1577980800
420000177,SC834,太原县,波市,1577721600,1577980800
820000178,WH523,沈阳县,荣县,1577721600,1577980800
320000179,CZ022,太原市,丹丹市,1577721600,1577980800
720000180,MF325,哈尔滨县,巢湖市,1577721600,1577980800
520000181,WC985,济南市,婷市,1577721600,1577980800
520000182,MU483,博县,天津县,1577721600,1577980800
220000183,WC037,小红市,哈尔滨县,1577721600,1577980800
220000184,CZ376,丽丽市,邯郸县,1577721600,1577980800
220000185,MD285,梧州县,秀芳市,1577721600,1577980800
720000186,SZ252,太原县,澳门市,1577721600,1577980800
120000187,SC189,淮安市,玲县,1577721600,1577980800
920000188,MF822,淑珍县,梧州市,1577721600,1577980800
720000189,TV456,嘉禾县,上海县,1577721600,1577980800
420000190,WC636,云县,杭州县,1577721600,1577980800
320000191,WC101,济南市,洁市,1577721600,1577980800
720000192,TV551,拉萨市,长春县,1577721600,1577980800
120000193,CZ301,郑州市,凤兰县,1577721600,1577980800
920000194,CA194,六盘水县,大冶县,1577721600,1577980800
320000195,CA706,玉华县,英市,1577721600,1577980800
720000196,MD001,柳州市,荆门市,1577721600,1577980800
120000197,WC609,博市,西宁县,1577721600,1577980800
820000198,3U777,汕尾县,娜县,1577721600,1577980800
320000199,CZ349,梧州县,佳市,1577721600,1577980800
920000200,HK801,秀英市,桂芳县,1577721600,1577980800
120000201,SC886,秀云县,红市,1577721600,1577980800
120000202,MD083,香港市,兴安盟市,1577721600,1577980800
320000203,WH962,秀云县,建华市,1577721600,1577980800
920000204,TV611,雪梅县,勇市,1577721600,1577980800
920000205,TV973,辛集市,丹丹市,1577721600,1577980800
520000206,MD557,芳县,华县,1577721600,1577980800
520000207,CJ476,云县,秀珍市,1577721600,1577980800
920000208,CZ012,敏市,桂珍县,1577721600,1577980800
520000209,3U735,沈阳县,飞市,1577721600,1577980800
320000210,CA680,六盘水市,玲县,1577721600,1577980800
420000211,SC423,兴城市,长沙县,1577721600,1577980800
720000212,CA360,淑珍市,北镇市,1577721600,1577980800
520000213,MU900,兰州市,六安市,1577721600,1577980800
420000214,3U690,淑华市,哈尔滨县,1577721600,1577980800
620000215,SZ113,柳州市,桂珍县,1577721600,1577980800
620000216,SC577,福州县,拉萨市,1577721600,1577980800
320000217,MD262,婷婷市,宁德市,1577721600,1577980800
420000218,MU735,合山县,斌县,1577721600,1577980800
520000219,SZ010,鹏市,桂花市,1577721600,1577980800
220000220,MU980,飞市,梧州县,1577721600,1577980800
620000221,CZ369,六安县,秀英市,1577721600,1577980800
820000222,SC508,北镇县,华县,1577721600,1577980800
120000223,CJ151,石家庄县,巢湖县,1577721600,1577980800
920000224,WC877,博市,乌鲁木齐市,1577721600,1577980800
620000225,HR553,兴安盟县,桂花市,1577721600,1577980800
720000226,CZ024,雪梅市,颖县,1577721600,1577980800
720000227,3U272,哈尔滨县,秀芳县,1577721600,1577980800
820000228,WC855,成都县,强市,1577721600,1577980800
820000229,TV862,桂芝县,嘉禾市,1577721600,1577980800
620000230,WH470,荣县,利市,1577721600,1577980800
320000231,MU823,斌县,丽娟县,1577721600,1577980800
520000232,TV329,淑兰市,辉市,1577721600,1577980800
120000233,HR977,岩县,阜新县,1577721600,1577980800
120000234,WC224,建市,雷市,1577721600,1577980800
620000235,SZ816,明县,倩市,1577721600,1577980800
520000236,CJ723,志强市,荆门市,1577721600,1577980800
320000237,MD766,俊县,强市,1577721600,1577980800
820000238,HK432,坤市,大冶市,1577721600,1577980800
720000239,SC475,南宁市,娟市,1577721600,1577980800
520000240,MU143,利市,华市,1577721600,1577980800
820000241,CA862,宇市,凤兰市,1577721600,1577980800
420000242,MU771,关岭县,桂花县,1577721600,1577980800
720000243,SZ627,小红县,桂香市,1577721600,1577980800
120000244,WC487,惠州市,合山市,1577721600,1577980800
520000245,HK469,静县,建华县,1577721600,1577980800
520000246,SC019,济南市,呼和浩特市,1577721600,1577980800
520000247,SZ548,秀芳县,楠县,1577721600,1577980800
120000248,MD658,霞县,大冶市,1577721600,1577980800
520000249,WH104,建国县,宜都县,1577721600,1577980800
920000250,TV520,秀珍县,长沙市,1577721600,1577980800
820000251,3U428,瑞市,帅市,1577721600,1577980800
920000252,CJ684,兴城市,秀兰市,1577721600,1577980800
320000253,WC670,重庆市,雷县,1577721600,1577980800
520000254,MD961,龙县,北京市,1577721600,1577980800
720000255,3U588,太原市,济南县,1577721600,1577980800
920000256,CA712,强市,洋县,1577721600,1577980800
920000257,3U752,成都市,柳州市,1577721600,1577980800
620000259,CJ489,东县,莹县,1577721600,1577980800
120000260,SZ463,桂荣市,淑兰县,1577721600,1577980800
420000261,TV640,晨县,六盘水市,1577721600,1577980800
220000262,WC944,阜新县,建华市,1577721600,1577980800
520000263,MD075,深圳县,建平县,1577721600,1577980800
620000264,WH960,帅市,南昌市,1577721600,1577980800
420000265,HK980,大冶县,海燕县,1577721600,1577980800
720000266,CZ728,玉华县,帅县,1577721600,1577980800
420000267,CJ643,太原县,倩市,1577721600,1577980800
720000268,CJ168,南宁县,巢湖县,1577721600,1577980800
120000269,CZ394,敏县,西宁县,1577721600,1577980800
520000270,HR535,欢市,冬梅市,1577721600,1577980800
520000272,TV794,六盘水市,淑英市,1577721600,1577980800
120000273,MD731,沈阳县,磊市,1577721600,1577980800
520000274,WH834,娟县,丹市,1577721600,1577980800
720000275,WC466,玉兰县,利县,1577721600,1577980800
720000278,TV529,兴城市,琴市,1577721600,1577980800
520000279,WC065,小红县,霞县,1577721600,1577980800
520000280,CA018,长沙县,石家庄市,1577721600,1577980800
420000281,WC832,帅县,沈阳县,1577721600,1577980800
120000282,MU818,邯郸市,杭州县,1577721600,1577980800
820000283,CA105,台北市,勇县,1577721600,1577980800
720000284,CJ875,杭州市,静市,1577721600,1577980800
320000285,3U731,玉英县,淑兰市,1577721600,1577980800
720000286,SZ810,海门市,博县,1577721600,1577980800
520000287,MF565,沈阳县,宁德市,1577721600,1577980800
920000288,TV800,晨县,佛山市,1577721600,1577980800
120000289,MD274,昆明市,贵阳县,1577721600,1577980800
320000290,3U048,娜县,汕尾市,1577721600,1577980800
420000291,WC329,雪市,柳州县,1577721600,1577980800
320000292,TV330,太原市,荆门县,1577721600,1577980800
320000293,MF202,玉市,柳州市,1577721600,1577980800
920000294,CA895,磊市,上海市,1577721600,1577980800
820000295,SC947,兰州市,勇市,1577721600,1577980800
920000296,3U530,石家庄市,娜县,1577721600,1577980800
420000297,3U729,太原县,桂荣市,1577721600,1577980800
720000298,TV809,琴市,桂芝市,1577721600,1577980800
220000299,CJ648,郑州县,通辽县,1577721600,1577980800
420000300,SC882,淑英市,平县,1577721600,1577980800
620000301,SZ216,丹丹市,秀兰县,1577721600,1577980800
920000302,MF129,桂珍市,燕县,1577721600,1577980800
520000303,WH921,淑英市,上海市,1577721600,1577980800
720000304,CJ170,西安县,上海市,1577721600,1577980800
320000305,HK352,六安县,昆明县,1577721600,1577980800
120000306,MU059,上海县,六盘水县,1577721600,1577980800
320000307,WH209,桂芝县,海燕县,1577721600,1577980800
420000308,HK933,杰县,丹丹县,1577721600,1577980800
220000309,HR240,广州市,呼和浩特市,1577721600,1577980800
520000310,HK057,六安市,金凤县,1577721600,1577980800
220000311,CZ469,杰县,哈尔滨市,1577721600,1577980800
820000312,SZ572,林市,太原县,1577721600,1577980800
320000313,WH203,荣县,燕县,1577721600,1577980800
720000314,WH162,兵市,佳市,1577721600,1577980800
420000315,WH614,龙市,洁县,1577721600,1577980800
420000316,MF683,秀云县,淮安市,1577721600,1577980800
720000317,SC689,成县,成都县,1577721600,1577980800
520000318,MF817,荆门市,凤英县,1577721600,1577980800
720000319,WC156,淮安市,秀珍市,1577721600,1577980800
120000320,MD258,玉华县,兴安盟市,1577721600,1577980800
420000321,HK616,玉珍市,齐齐哈尔县,1577721600,1577980800
620000322,HR282,淑华县,西宁县,1577721600,1577980800
220000323,SZ924,沈阳市,辽阳市,1577721600,1577980800
720000324,MF538,利县,华市,1577721600,1577980800
220000325,SC780,洋市,兴城县,1577721600,1577980800
720000326,MD473,嘉禾县,阜新县,1577721600,1577980800
720000327,MF037,利市,凤英市,1577721600,1577980800
320000328,SC515,张家港市,俊县,1577721600,1577980800
820000329,SC855,齐齐哈尔市,澳门县,1577721600,1577980800
320000330,3U891,杨市,俊县,1577721600,1577980800
720000331,CA153,丽县,金凤县,1577721600,1577980800
520000332,WH165,婷市,银川县,1577721600,1577980800
820000333,WH867,马鞍山市,六盘水市,1577721600,1577980800
720000334,CZ191,岩县,建华市,1577721600,1577980800
520000335,CZ733,建军县,颖县,1577721600,1577980800
720000336,SC604,建华市,金凤市,1577721600,1577980800
320000337,SC135,齐齐哈尔市,重庆县,1577721600,1577980800
820000338,MD908,欢市,台北市,1577721600,1577980800
320000339,WC559,丽娟县,艳县,1577721600,1577980800
920000340,MD090,燕市,秀华县,1577721600,1577980800
820000341,MF086,宜都市,建华县,1577721600,1577980800
820000342,MD916,建军县,淮安县,1577721600,1577980800
220000343,MF034,郑州市,海门县,1577721600,1577980800
620000344,MU655,畅市,秀云市,1577721600,1577980800
120000345,CA096,旭县,成都市,1577721600,1577980800
620000346,HR290,齐齐哈尔县,福州县,1577721600,1577980800
520000347,CZ771,潮州市,邯郸县,1577721600,1577980800
220000348,3U872,南昌市,齐齐哈尔市,1577721600,1577980800
720000349,WH778,慧市,贵阳县,1577721600,1577980800
320000350,WH364,合山县,桂荣市,1577721600,1577980800
320000351,CA681,琴县,北京市,1577721600,1577980800
620000352,CA315,辽阳县,东县,1577721600,1577980800
820000353,MU712,建市,佳市,1577721600,1577980800
320000354,HK570,秀梅市,银川市,1577721600,1577980800
120000355,HR949,沈阳市,香港市,1577721600,1577980800
320000356,MU640,惠州县,小红县,1577721600,1577980800
320000357,TV182,马鞍山县,乌鲁木齐县,1577721600,1577980800
520000358,CJ355,福州市,秀云县,1577721600,1577980800
120000359,SZ346,伟县,香港县,1577721600,1577980800
220000360,WH917,玉珍县,拉萨县,1577721600,1577980800
920000361,SC712,建平市,广州市,1577721600,1577980800
620000362,MF001,齐齐哈尔县,潮州县,1577721600,1577980800
620000363,WH251,淑华县,哈尔滨市,1577721600,1577980800
920000364,HK296,秀华市,柳县,1577721600,1577980800
220000365,CJ467,洋县,北镇县,1577721600,1577980800
520000366,MF116,嘉禾市,小红县,1577721600,1577980800
620000367,SZ654,玉珍市,北京县,1577721600,1577980800
720000368,HR494,丽娟市,海燕县,1577721600,1577980800
820000369,HR663,瑞市,红霞县,1577721600,1577980800
820000370,WC100,桂香县,荆门县,1577721600,1577980800
420000371,WC737,杭州市,潜江县,1577721600,1577980800
120000372,TV282,秀华市,英县,1577721600,1577980800
620000373,CA421,晶市,阜新市,1577721600,1577980800
520000374,SC216,欣市,重庆市,1577721600,1577980800
720000375,HR385,柳市,太原县,1577721600,1577980800
120000376,TV056,深圳市,西安县,1577721600,1577980800
820000377,CJ516,娟市,杭州市,1577721600,1577980800
320000378,WH853,小红市,桂珍县,1577721600,1577980800
120000379,SC794,深圳市,南昌市,1577721600,1577980800
220000380,TV832,雪梅县,西宁市,1577721600,1577980800
820000381,WH538,六盘水市,兵县,1577721600,1577980800
420000382,SZ451,东市,银川市,1577721600,1577980800
420000383,HR585,淑华县,贵阳县,1577721600,1577980800
220000384,TV348,石家庄县,超县,1577721600,1577980800
720000385,MU261,峰市,冬梅市,1577721600,1577980800
620000386,3U407,凤英县,利市,1577721600,1577980800
420000387,MU202,萍市,丽娟市,1577721600,1577980800
420000388,3U139,晶市,南京市,1577721600,1577980800
720000389,CZ056,嘉禾县,海口市,1577721600,1577980800
420000390,MF987,福州县,成市,1577721600,1577980800
520000391,CJ679,雷县,梧州县,1577721600,1577980800
320000392,TV316,云县,通辽市,1577721600,1577980800
320000393,TV955,云市,斌县,1577721600,1577980800
320000394,TV461,巢湖县,通辽县,1577721600,1577980800
120000395,SC747,贵阳市,天津市,1577721600,1577980800
320000396,HR131,辉市,秀云市,1577721600,1577980800
320000397,WC502,洁县,晶市,1577721600,1577980800
320000398,SC035,兴安盟市,慧县,1577721600,1577980800
320000399,3U814,华市,军县,1577721600,1577980800
920000400,TV760,台北市,拉萨县,1577721600,1577980800
420000401,CZ946,乌鲁木齐市,利市,1577721600,1577980800
820000402,WH317,强县,瑜市,1577721600,1577980800
620000403,CZ601,建国县,宁德县,1577721600,1577980800
420000404,WC727,南昌市,梅市,1577721600,1577980800
620000405,SC041,惠州县,雷市,1577721600,1577980800
120000406,CZ406,凤兰县,济南市,1577721600,1577980800
120000407,WC276,重庆县,荆门县,1577721600,1577980800
920000408,MD248,呼和浩特县,磊市,1577721600,1577980800
420000409,CA752,澳门市,慧县,1577721600,1577980800
720000410,HR618,广州县,淑华市,1577721600,1577980800
320000411,SZ144,福州市,萍县,1577721600,1577980800
320000412,MD869,合山县,澳门县,1577721600,1577980800
720000413,HK387,宜都市,成都市,1577721600,1577980800
820000414,MD318,兴城市,东市,1577721600,1577980800
920000415,WC251,云县,齐齐哈尔市,1577721600,1577980800
820000416,WC691,莉县,辛集市,1577721600,1577980800
820000417,MU462,莉县,兰州县,1577721600,1577980800
820000418,HK516,丽华县,兴安盟市,1577721600,1577980800
920000419,3U903,潮州县,秀珍市,1577721600,1577980800
420000420,CJ502,兴城市,广州市,1577721600,1577980800
820000421,CZ705,杭州市,南宁县,1577721600,1577980800
120000422,MU176,淑华县,永安市,1577721600,1577980800
820000423,HR447,秀芳县,建县,1577721600,1577980800
520000424,SC147,太原市,欣市,1577721600,1577980800
820000425,CJ806,柳州市,六安市,1577721600,1577980800
120000426,HR050,沈阳县,凤英县,1577721600,1577980800
220000427,WC954,通辽市,洋市,1577721600,1577980800
220000429,WH505,玉兰市,沈阳市,1577721600,1577980800
820000430,MF435,郑州县,凤英市,1577721600,1577980800
620000431,HK196,通辽县,哈尔滨市,1577721600,1577980800
820000432,CZ969,建平市,大冶市,1577721600,1577980800
720000433,CA875,桂荣市,兴城市,1577721600,1577980800
320000434,MD939,大冶县,秀兰市,1577721600,1577980800
920000435,WC255,俊县,南宁市,1577721600,1577980800
720000436,CJ303,佛山市,重庆县,1577721600,1577980800
520000437,3U469,北京县,利县,1577721600,1577980800
820000438,SC267,欣县,倩市,1577721600,1577980800
320000439,MF756,济南县,惠州市,1577721600,1577980800
720000440,SZ160,关岭市,玉英县,1577721600,1577980800
720000441,TV394,玉县,玉华县,1577721600,1577980800
820000442,3U123,雷县,大冶市,1577721600,1577980800
220000443,WH971,鹏县,邯郸市,1577721600,1577980800
120000444,SC088,桂兰县,海门市,1577721600,1577980800
120000445,MF873,雪县,南昌县,1577721600,1577980800
320000446,CJ513,北京县,玉县,1577721600,1577980800
720000447,CZ433,春梅市,帅市,1577721600,1577980800
720000448,MF088,通辽市,福州县,1577721600,1577980800
220000449,MF602,齐齐哈尔县,婷婷县,1577721600,1577980800
420000450,CJ008,石家庄市,六安市,1577721600,1577980800
820000451,CA596,玉梅市,桂芳县,1577721600,1577980800
320000452,SZ476,杰县,兰英市,1577721600,1577980800
620000453,HK829,浩市,艳市,1577721600,1577980800
120000454,HK171,静市,合山市,1577721600,1577980800
720000455,CA486,柳州县,淑英市,1577721600,1577980800
720000456,3U619,霞市,邯郸县,1577721600,1577980800
320000457,MD970,太原县,荆门市,1577721600,1577980800
220000458,HR718,广州市,静县,1577721600,1577980800
120000460,HK297,兴城县,玉梅市,1577721600,1577980800
520000461,SZ355,南京县,兵市,1577721600,1577980800
920000462,HR984,张家港县,银川市,1577721600,1577980800
720000463,WC725,海门县,南宁县,1577721600,1577980800
920000464,HR386,哈尔滨县,兵县,1577721600,1577980800
120000465,CA188,太原县,玉华市,1577721600,1577980800
120000466,MD210,凤英县,汕尾市,1577721600,1577980800
720000467,MD646,太原县,淑华市,1577721600,1577980800
120000468,SZ051,成都县,莉县,1577721600,1577980800
220000469,MF881,兰英市,雷市,1577721600,1577980800
120000470,HR157,南昌市,健县,1577721600,1577980800
120000471,SZ186,飞市,哈尔滨市,1577721600,1577980800
320000472,MU182,海口市,凤兰市,1577721600,1577980800
620000473,SZ389,台北市,太原市,1577721600,1577980800
820000474,CJ462,淮安县,秀兰市,1577721600,1577980800
820000475,CJ498,兴安盟县,丽华县,1577721600,1577980800
120000476,SZ223,巢湖市,淑英市,1577721600,1577980800
920000477,CJ916,西宁县,阜新市,1577721600,1577980800
620000478,3U938,贵阳市,岩市,1577721600,1577980800
920000479,HK927,阜新市,合山县,1577721600,1577980800
620000480,TV363,芳县,娟县,1577721600,1577980800
420000481,3U429,哈尔滨市,亮县,1577721600,1577980800
320000482,MD554,艳县,凯市,1577721600,1577980800
620000483,MD550,丽丽县,玉英县,1577721600,1577980800
320000484,MF030,想县,雪梅市,1577721600,1577980800
320000485,CJ929,旭县,哈尔滨县,1577721600,1577980800
420000486,3U695,澳门市,畅市,1577721600,1577980800
120000487,CZ224,丹丹县,南宁市,1577721600,1577980800
520000488,MF103,涛县,西宁市,1577721600,1577980800
120000490,HR524,阜新县,利县,1577721600,1577980800
220000491,3U065,涛市,银川县,1577721600,1577980800
320000492,CA783,哈尔滨市,艳市,1577721600,1577980800
620000493,WH239,巢湖县,香港县,1577721600,1577980800
720000494,CA651,秀华县,红县,1577721600,1577980800
120000495,SZ701,台北县,健县,1577721600,1577980800
120000496,SC920,丽娟市,华县,1577721600,1577980800
220000497,3U512,上海县,六盘水市,1577721600,1577980800
720000498,HK314,春梅市,桂英市,1577721600,1577980800
620000499,SC203,海口市,玉县,1577721600,1577980800
620000500,WH405,玉珍县,宜都市,1577721600,1577980800
620000501,HR865,桂芳市,石家庄市,1577721600,1577980800
720000502,CZ063,济南市,海燕县,1577721600,1577980800
520000503,TV819,丹丹市,荣县,1577721600,1577980800
820000504,CJ002,玉兰县,云市,1577721600,1577980800
420000505,CJ658,瑞市,淑华县,1577721600,1577980800
620000506,SC817,莉县,玲市,1577721600,1577980800
120000507,MD155,丽娟市,峰县,1577721600,1577980800
